lower_label,upper_label,lower_parity,upper_parity,wavelength_nm,ritz_wavelength_nm,transition_wavenumber_cm,Aki_s,accuracy,lower_energy_cm,upper_energy_cm,lower_configuration,lower_term_raw,lower_J,upper_configuration,upper_term_raw,upper_J,transition_type,tp_reference,line_reference
5s2 1S0,4d(2D<5/2>)10f 2[3/2]1,even,odd,167.613,167.6131,59661.2,,,0.000,59661.2,5s2,1S,0,4d.(2D<5/2>).10f,2[3/2]*,1,,,L7603
5s2 1S0,4d(2D<3/2>)10f 2[3/2]1,even,odd,168.462,168.4622,59360.5,,,0.000,59360.5,5s2,1S,0,4d.(2D<3/2>).10f,2[3/2]*,1,,,L7603
5s2 1S0,4d(2D<5/2>)9f 2[3/2]1,even,odd,168.462,168.4622,59360.5,,,0.000,59360.5,5s2,1S,0,4d.(2D<5/2>).9f,2[3/2]*,1,,,L7603
5s2 1S0,4d(2D<5/2>)9f 2[1/2]1,even,odd,168.809,168.8091,59238.5,,,0.000,59238.5,5s2,1S,0,4d.(2D<5/2>).9f,2[1/2]*,1,,,L7603
5s2 1S0,4d(2D<3/2>)9f 2[3/2]1,even,odd,169.397,169.3971,59032.9,,,0.000,59032.9,5s2,1S,0,4d.(2D<3/2>).9f,2[3/2]*,1,,,L7603
5s2 1S0,4d(2D<5/2>)8f 2[3/2]1,even,odd,169.576,169.5757,58970.7,,,0.000,58970.7,5s2,1S,0,4d.(2D<5/2>).8f,2[3/2]*,1,,,L7603
5s2 1S0,4d(2D<5/2>)8f 2[1/2]1,even,odd,169.703,169.7029,58926.5,,,0.000,58926.5,5s2,1S,0,4d.(2D<5/2>).8f,2[1/2]*,1,,,L7603
5s2 1S0,4d(2D<5/2>)10p 2[3/2]1,even,odd,170.320,170.3195,58713.2,,,0.000,58713.2,5s2,1S,0,4d.(2D<5/2>).10p,2[3/2]*,1,,,L7603
5s2 1S0,4d(2D<3/2>)8f 2[3/2]1,even,odd,170.595,170.5952,58618.3,,,0.000,58618.3,5s2,1S,0,4d.(2D<3/2>).8f,2[3/2]*,1,,,L7603
5s2 1S0,4d(2D<3/2>)10p 2[3/2]1,even,odd,171.058,171.0577,58459.8,,,0.000,58459.8,5s2,1S,0,4d.(2D<3/2>).10p,2[3/2]*,1,,,L7603
5s2 1S0,"4d7f (5/2,7/2)1",even,odd,171.167,171.1675,58422.3,,,0.000,58422.3,5s2,1S,0,4d.7f,"(5/2,7/2)*",1,,,L7603
5s2 1S0,4d(2D<3/2>)10p 2[1/2]1,even,odd,171.244,171.2440,58396.2,,,0.000,58396.2,5s2,1S,0,4d.(2D<3/2>).10p,2[1/2]*,1,,,L7603
5s2 1S0,"4d7f (5/2,5/2)1",even,odd,171.565,171.5648,58287.0,,,0.000,58287.0,5s2,1S,0,4d.7f,"(5/2,5/2)*",1,,,L7603
5s2 1S0,"4d9p (5/2,3/2)1",even,odd,172.171,172.171,58081.8,,,0.000,58081.8,5s2,1S,0,4d.9p,"(5/2,3/2)*",1,,,L413
5s2 1S0,"4d7f (3/2,5/2)1",even,odd,172.350,172.3499,58021.5,,,0.000,58021.5,5s2,1S,0,4d.7f,"(3/2,5/2)*",1,,,L7603
5s2 1S0,"4d9p (3/2,1/2)1",even,odd,173.181,173.1806,57743.2,,,0.000,57743.2,5s2,1S,0,4d.9p,"(3/2,1/2)*",1,,,L7603
